reportingrailroadcode,accidentnumber,date,time,accidenttype,hazmatreleasedcars,station,stateabbr,temperature,visibility_code,visibility,weathercondition,tracktype,equipmenttype,trainspeed,equipmentdamagecost,trackdamagecost,totaldamagecost,primaryaccidentcausecode,latitude,longitude,prior_temp,actual_temp,following_temp,before_temp_change,after_temp_change,across_temp_change,accident_category
NS,151317,2022-10-30,1:45 AM,Other impacts,0,ALLENTOWN,PA,55,4.0,Dark,Clear,Yard,Single Car,3,1800,5992,40842,H312,40.611935,-75.426704,43.7,44.9,51.5,1.1999999999999957,6.600000000000001,7.799999999999997,Other
NS,151317,2022-10-30,1:45 AM,Other impacts,0,ALLENTOWN,PA,55,4.0,Dark,Clear,Yard,Single Car,0,13300,0,40842,H312,40.611935,-75.426704,43.7,44.9,51.5,1.1999999999999957,6.600000000000001,7.799999999999997,Other
NS,155541,2024-01-24,1:20 PM,Other impacts,0,ALLENTOWN,PA,37,2.0,Day,Cloudy,Yard,Single Car,0,700,0,25700,H312,40.601252,-75.441088,34.7,36.9,44.3,2.1999999999999957,7.399999999999999,9.599999999999994,Other
NS,155541,2024-01-24,1:20 PM,Other impacts,0,ALLENTOWN,PA,37,2.0,Day,Cloudy,Yard,Single Car,4,25000,0,25700,H312,40.601252,-75.441088,34.7,36.9,44.3,2.1999999999999957,7.399999999999999,9.599999999999994,Other
NS,151317,2022-10-30,1:45 AM,Other impacts,0,ALLENTOWN,PA,55,4.0,Dark,Clear,Yard,Single Car,0,19000,0,40842,H312,40.611935,-75.426704,43.7,44.9,51.5,1.1999999999999957,6.600000000000001,7.799999999999997,Other
NS,129934,2018-06-23,10:15 AM,Derailment,0,ALLENTOWN,PA,68,2.0,Day,Cloudy,Yard,Yard/switching,4,142113,49528,191641,E33C,40.61193,-75.426706,69.6,66.1,75.6,-3.5,9.5,6.0,Other
BNSF,PR0220102,2020-02-07,5:15 PM,Derailment,0,ALLIANCE,NE,20,3.0,Dusk,Clear,Yard,Light loco(s),5,31309,0,31309,E49L,42.092611,-102.873608,22.6,25.5,35.2,2.8999999999999986,9.700000000000003,12.600000000000001,Other
BNSF,PR1216112,2016-12-26,7:57 PM,Derailment,0,ALLIANCE,NE,16,4.0,Dark,Clear,Yard,Yard/switching,15,45072,0,45072,H602,42.069232,-102.89863,22.7,23.2,34.0,0.5,10.8,11.3,Other
NS,137868,2020-05-02,11:30 PM,Derailment,0,ALLIANCE,OH,62,4.0,Dark,Rain,Industry,Freight Train,9,167340,0,167340,H306,40.917381,-81.146912,47.6,57.6,67.7,10.0,10.100000000000001,20.1,Other
BNSF,PR0224109,2024-02-11,8:03 PM,Derailment,0,ALLIANCE,NE,35,3.0,Dusk,Clear,Yard,Light loco(s),2,76158,154,76312,H017,42.093264,-102.873542,25.9,18.3,27.7,-7.599999999999998,9.399999999999999,1.8000000000000007,Other
BNSF,PR0715119,2015-07-29,8:10 PM,Other impacts,0,ALLIANCE,NE,74,3.0,Dusk,Clear,Yard,Light loco(s),22,10000,0,40000,H307,42.084985,-102.886903,67.4,64.6,72.1,-2.8000000000000114,7.5,4.699999999999989,Other
BNSF,PR0715119,2015-07-29,8:10 PM,Other impacts,0,ALLIANCE,NE,74,3.0,Dusk,Clear,Yard,Light loco(s),0,30000,0,40000,H307,42.084985,-102.886903,67.4,64.6,72.1,-2.8000000000000114,7.5,4.699999999999989,Other
BNSF,PR1114116,2014-11-20,1:00 PM,Derailment,0,ALLIANCE,NE,50,2.0,Day,Clear,Yard,Freight Train,8,127998,188903,316901,E40C,42.088414,-102.886931,28.1,27.3,34.7,-0.8000000000000007,7.400000000000002,6.600000000000001,Other
BNSF,PR0515102,2015-05-10,8:40 AM,Derailment,0,ALLIANCE,NE,30,1.0,Dawn,Snow,Yard,Freight Train,7,68586,64800,133386,T207,42.06592,-102.900449,40.6,32.5,39.2,-8.100000000000001,6.700000000000003,-1.3999999999999986,Track-related
BNSF,CH1115104,2015-11-07,8:45 AM,Derailment,5,ALMA,WI,37,1.0,Dawn,Clear,Main,Freight Train,26,1013716,1216069,2229785,H519,44.350032,-91.935645,43.3,40.0,47.4,-3.299999999999997,7.399999999999999,4.100000000000001,Other
BNSF,CH0219125,2019-02-28,12:49 AM,Derailment,0,ALMA,WI,-8,4.0,Dark,Clear,Industry,Freight Train,8,75000,0,75000,M101,44.3039,-91.909848,9.6,8.3,15.0,-1.299999999999999,6.699999999999999,5.4,Other
LSRC,D220620,2022-06-20,5:40 PM,Derailment,0,ALPENA,MI,75,2.0,Day,Clear,Yard,Freight Train,7,13495,100367,113862,T110,45.0447,-83.25528,56.3,60.1,72.6,3.8000000000000043,12.499999999999993,16.299999999999997,Track-related
TXPF,03112016,2016-03-11,12:20 PM,Obstruction,0,ALPINE,TX,51,2.0,Day,Clear,Yard,Freight Train,10,0,0,24079,H997,30.566882,-103.487505,49.6,51.1,59.2,1.5,8.100000000000001,9.600000000000001,Other
TXPF,03112016,2016-03-11,12:20 PM,Obstruction,0,ALPINE,TX,51,2.0,Day,Clear,Yard,Spec. MoW Equip.,15,24079,0,24079,H997,30.566882,-103.487505,49.6,51.1,59.2,1.5,8.100000000000001,9.600000000000001,Other
UP,0315SL006,2015-03-15,9:30 AM,Hwy-rail crossing,0,ALTON,IL,40,2.0,Day,Clear,Main,Passenger Train - Pulling,0,0,1200,22700,M308,38.91707,-90.14997,53.3,53.4,62.2,0.10000000000000142,8.800000000000004,8.900000000000006,Other
ATK,136679,2015-03-15,9:30 AM,Hwy-rail crossing,0,ALTON,IL,60,2.0,Day,Clear,Main,Passenger Train - Pulling,75,21500,0,22700,M308,38.91707,-90.14997,53.3,53.4,62.2,0.10000000000000142,8.800000000000004,8.900000000000006,Other
NS,152860,2023-04-19,11:45 AM,Derailment,0,ALTOONA,PA,57,2.0,Day,Clear,Yard,Freight Train,5,29511,12858,42369,H506,40.535506,-78.380109,39.8,48.5,63.0,8.700000000000003,14.5,23.200000000000003,Other
UP,1220GC001,2020-12-02,9:50 AM,Derailment,0,AMA,LA,53,2.0,Day,Cloudy,Industry,Yard/switching,5,33133,400,33533,T110,29.935787,-90.298731,46.8,52.0,67.0,5.200000000000003,15.0,20.200000000000003,Track-related
BNSF,KS0316106,2016-03-21,1:15 AM,Side collision,0,AMARILLO,TX,38,4.0,Dark,Clear,Yard,Light loco(s),8,4185,0,24038,H607,35.191656,-101.831324,39.6,55.8,65.5,16.199999999999996,9.700000000000003,25.9,Other
BNSF,KS0518109,2018-05-31,10:00 PM,Derailment,0,AMARILLO,TX,65,4.0,Dark,Clear,Yard,Yard/switching,7,27867,7500,35367,H318,35.212901,-101.818938,77.7,79.0,87.0,1.2999999999999972,8.0,9.299999999999997,Other
BNSF,KS0322107,2022-03-11,1:15 PM,Other impacts,0,AMARILLO,TX,35,2.0,Day,Clear,Yard,Yard/switching,3,28796,0,28951,H310,35.188359,-101.832629,23.0,25.1,38.6,2.1000000000000014,13.5,15.600000000000001,Other
BNSF,KS0322107,2022-03-11,1:15 PM,Other impacts,0,AMARILLO,TX,35,2.0,Day,Clear,Yard,Yard/switching,0,155,0,28951,H310,35.188359,-101.832629,23.0,25.1,38.6,2.1000000000000014,13.5,15.600000000000001,Other
BNSF,KS0324112,2024-03-27,4:09 AM,Derailment,0,AMARILLO,TX,53,1.0,Dawn,Clear,Yard,Yard/switching,3,43662,0,76272,H309,35.187511,-101.833309,37.2,41.5,52.6,4.299999999999997,11.100000000000001,15.399999999999999,Other
BNSF,KS0217111,2017-02-25,4:00 AM,Other (describe in narrative),0,AMARILLO,TX,27,1.0,Dawn,Clear,Yard,Yard/switching,4,23200,20000,43200,H607,35.204914,-101.825448,34.3,34.7,44.6,0.4000000000000057,9.899999999999999,10.300000000000004,Other
BNSF,RD1122131,2022-11-30,7:25 AM,Derailment,0,AMARILLO,TX,18,1.0,Dawn,Clear,Main,Freight Train,15,322882,80000,402882,H306,35.195385,-101.701784,41.5,27.8,39.7,-13.7,11.900000000000002,-1.7999999999999972,Other
BNSF,KS1218107,2018-12-14,9:12 PM,Derailment,0,AMARILLO,TX,36,4.0,Dark,Clear,Yard,Light loco(s),6,500,23000,23500,H307,35.192691,-101.830616,39.6,34.7,43.2,-4.899999999999999,8.5,3.6000000000000014,Other
BNSF,KS0324112,2024-03-27,4:09 AM,Derailment,0,AMARILLO,TX,53,1.0,Dawn,Clear,Yard,Yard/switching,4,27610,5000,76272,H309,35.187511,-101.833309,37.2,41.5,52.6,4.299999999999997,11.100000000000001,15.399999999999999,Other
BNSF,KS1119101,2019-11-02,5:47 AM,Derailment,0,AMARILLO,TX,25,1.0,Dawn,Clear,Yard,Yard/switching,8,776,15802,16578,H309,35.187864,-101.832978,41.7,39.8,48.9,-1.9000000000000057,9.100000000000001,7.199999999999996,Other
BNSF,KS0722113,2022-07-30,10:59 PM,Derailment,0,AMARILLO,TX,85,4.0,Dark,Clear,Yard,Freight Train,5,22262,60000,82262,E64L,35.198498,-101.829228,74.9,73.2,83.1,-1.7000000000000028,9.899999999999991,8.199999999999989,Other
BNSF,KS0317101,2017-03-07,2:20 PM,Other impacts,0,AMARILLO,TX,62,2.0,Day,Clear,Yard,Yard/switching,4,250,0,41250,H702,35.212918,-101.827224,61.6,45.6,55.6,-16.0,10.0,-6.0,Other
BNSF,KS0215106,2015-02-18,9:30 PM,Derailment,0,AMARILLO,TX,39,4.0,Dark,Clear,Yard,Yard/switching,10,11684,11000,22684,H312,35.195517,-101.831005,34.8,36.5,47.3,1.7000000000000028,10.799999999999997,12.5,Other
UP,0317KC026,2017-03-07,2:20 PM,Other impacts,0,AMARILLO,TX,62,2.0,Day,Clear,Yard,Freight Train,5,41000,0,41250,H702,35.212918,-101.827224,61.6,45.6,55.6,-16.0,10.0,-6.0,Other
BNSF,KS0316106,2016-03-21,1:15 AM,Side collision,0,AMARILLO,TX,38,4.0,Dark,Clear,Yard,Light loco(s),0,19853,0,24038,H607,35.191656,-101.831324,39.6,55.8,65.5,16.199999999999996,9.700000000000003,25.9,Other
BNSF,KS1215107,2015-12-17,7:45 AM,Derailment,0,AMARILLO,TX,20,1.0,Dawn,Clear,Yard,Yard/switching,10,20709,1500,22209,T113,35.194025,-101.828599,31.4,27.3,34.3,-4.099999999999998,6.9999999999999964,2.8999999999999986,Track-related
BNSF,HL0224102,2024-02-01,4:25 PM,Derailment,0,AMORY,MS,54,2.0,Day,Clear,Yard,Yard/switching,5,3000,481000,484000,H607,33.98838,-88.493865,45.5,45.3,52.3,-0.20000000000000284,7.0,6.799999999999997,Other
NS,152673,2023-03-30,4:08 PM,Derailment,0,AMSDEN,OH,50,3.0,Dusk,Clear,Yard,Freight Train,9,9750,12205,21955,T207,41.177814,-83.339108,39.8,37.3,52.5,-2.5,15.200000000000003,12.700000000000003,Track-related
CUOH,CUO757121R,2021-04-22,5:40 AM,Derailment,0,AMSTERDAM,OH,33,1.0,Dawn,Clear,Industry,Yard/switching,4,78779,18000,170979,E67C,40.431886,-80.905008,35.7,38.5,45.8,2.799999999999997,7.299999999999997,10.099999999999994,Other
XTGS,F012020,2020-01-12,10:20 AM,Derailment,0,ANAHUAC,TX,48,2.0,Day,Cloudy,Industry,Freight Train,2,0,20722,20722,T001,29.699088,-94.897499,57.5,49.8,60.5,-7.700000000000003,10.700000000000003,3.0,Track-related
MBTA,7001,2016-01-05,3:22 AM,Derailment,0,ANDOVER,MA,7,4.0,Dark,Clear,Main,Passenger Train - Pulling,57,100096,30915,131011,T207,42.67,-71.1425,22.4,14.5,28.0,-7.899999999999999,13.5,5.600000000000001,Track-related
IAIS,2019048,2019-11-19,12:16 PM,Hwy-rail crossing,0,ANITA,IA,44,2.0,Day,Clear,Main,Freight Train,38,12753,0,12753,M302,41.425625,-94.81749,39.4,42.7,51.3,3.3000000000000043,8.599999999999994,11.899999999999999,Other
AKMD,AKM874521,2021-11-20,5:00 PM,Other (describe in narrative),0,ARKANSAS CITY,AR,50,3.0,Dusk,Clear,Industry,Light loco(s),1,15000,0,15000,H599,33.703893,-91.236929,43.6,49.9,61.9,6.299999999999997,12.0,18.299999999999997,Other
UP,0418FW003,2018-04-02,10:45 PM,Derailment,0,ARLINGTON,TX,50,4.0,Dark,Clear,Yard,Yard/switching,6,11934,86277,98211,H702,32.74135,-97.059654,63.1,48.2,68.4,-14.899999999999999,20.200000000000003,5.300000000000004,Other
UP,0124GL041,2024-01-21,1:44 AM,Derailment,0,ARLINGTON,NE,21,4.0,Dark,Snow,Main,Freight Train,35,1123952,230839,1354791,T201,41.437526,-96.257569,-3.3,15.6,30.1,18.9,14.500000000000002,33.4,Track-related
NS,139056,2020-09-01,10:45 AM,Other impacts,0,ARRINGTON,VA,68,2.0,Day,Cloudy,Main,Spec. MoW Equip.,0,19341,0,19341,H997,37.637446,-78.965905,67.2,69.9,77.4,2.700000000000003,7.5,10.200000000000003,Other
KCS,22101402,2022-10-14,1:15 PM,Derailment,0,ARTESIA,MS,79,2.0,Day,Clear,Yard,Yard/switching,7,33384,6491,39875,H704,33.424257,-88.622721,65.9,60.9,68.1,-5.000000000000007,7.199999999999996,2.1999999999999886,Other
RTDC,73679,2018-08-22,9:30 PM,Other impacts,0,ARVADA,CO,73,3.0,Dusk,Cloudy,Main,EMU,60,5901,24310,30211,T404,39.791409,-105.117326,60.3,65.0,72.3,4.700000000000003,7.299999999999997,12.0,Track-related
KCS,17010602,2017-01-06,6:25 PM,Derailment,0,ASBURY,MO,6,4.0,Dark,Clear,Main,Freight Train,9,303814,1408649,1712463,E61C,37.28441,-94.609626,17.8,12.6,19.4,-5.200000000000001,6.799999999999999,1.5999999999999979,Other
KRR,KRR721224D,2024-03-01,3:00 AM,Derailment,0,ASHDOWN,AR,60,4.0,Dark,Clear,Main,Freight Train,9,37410,25000,62410,T220,33.653358,-93.998645,43.5,45.3,58.0,1.7999999999999972,12.700000000000003,14.5,Other
KRR,KRR087323,2023-01-15,10:30 PM,Derailment,0,ASHDOWN,AR,60,4.0,Dark,Cloudy,Main,Freight Train,10,290000,235000,525000,T101,33.645483,-93.942362,41.2,53.6,65.8,12.399999999999999,12.199999999999996,24.599999999999994,Track-related
